cache ready!
45.218852518,26.392906468,0.496464557,0.006597637;1
11.943049081,5.011146734,0.504245514,0.087174723;1
9.225356124,4.862979024,0.464763601,0.106046015;1
58.828255716,30.259731504,0.514333862,0.004069744;1
38.898409900,21.688797721,0.499900362,0.008691089;1
56.722901012,24.341309267,0.526798397,0.004437999;1
22.259346354,14.067326063,0.477548863,0.023723281;1
64.509374604,15.084802560,0.735821482,0.012570131;1
30.995946310,17.686460491,0.523994123,0.021003815;1
10.723523054,5.228859650,0.497573693,0.104329491;1
12.902686778,6.276517200,0.522007473,0.091839899;1
8.818182283,3.977984765,0.492245321,0.145858672;1
70.234269106,29.594427523,0.574412263,0.004660077;1
30.418816440,9.244515411,0.587152113,0.024018251;1
55.355138381,23.399163600,0.568302815,0.007191842;1
17.747296493,8.834000971,0.520024345,0.048442035;1
12.520061877,5.233292170,0.530960898,0.098606069;1
44.568351578,14.802928903,0.602599722,0.011499203;1
18.637437898,10.371449196,0.497033977,0.037313300;1
64.942471842,16.137986435,0.623882273,0.007041928;1
8.344372875,3.650451343,0.500511751,0.174039497;1
32.391471990,15.408676028,0.517314136,0.013598045;1
12.697382997,4.221811120,0.612131747,0.170552005;1
9.995053965,2.219262046,0.580095442,0.246591822;1
12.137101466,6.778382959,0.492548729,0.083868224;1
9.439274819,4.105727947,0.514122887,0.151598915;1
13.453205625,8.111626704,0.500217196,0.084764948;1
17.903633611,8.732253509,0.514654618,0.044230842;1
9.312464349,4.683193306,0.495966744,0.137777096;1
32.645609824,5.870363832,0.787427822,0.069670561;1
37.450868154,13.755352465,0.634373405,0.026141334;1
14.902466758,6.975579455,0.547562257,0.088282878;1
31.330492816,18.094271946,0.516382263,0.018415231;1
14.373632055,6.680215921,0.512414062,0.065109916;1
12.595584986,7.638686270,0.492734360,0.086921248;1
17.569240601,8.807528948,0.517124144,0.047898930;1
21.374134004,10.233024003,0.514522764,0.030567669;1
10.661378264,4.999976109,0.504719256,0.111148677;1
24.289602287,10.233982844,0.574088512,0.039646569;1
28.124478213,11.738209072,0.533970499,0.018918177;1
13.966879686,8.077648623,0.480290632,0.056467105;1
133.839949725,67.815174978,0.507520840,0.000736523;1
14.885152124,4.497618977,0.566332053,0.090622124;1
60.116956538,23.633223964,0.545049891,0.004704781;1
14.447744638,9.181916750,0.483774179,0.062537548;1
27.049498444,12.940059702,0.501057993,0.016660673;1
46974.325188845,22642.930309753,0.532387659,0.000000007;1
14.746215164,10.327323033,0.464951019,0.052869746;1
9.138745374,4.580093646,0.475606870,0.118336726;1
31.304419414,7.411283215,0.687348948,0.043979052;1
20.976109647,11.475890559,0.503166118,0.030944775;1
15.986687843,8.656345316,0.494477921,0.047885353;1
38.500433933,22.271945777,0.510291855,0.010816842;1
18.671820721,7.855200359,0.523352613,0.041611545;1
50.411582758,20.462557555,0.549693625,0.007035538;1
